name,description,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,availability_365,review_scores_value,price
One-bedroom Apartment - Bens The Highdocks,"This newly built property is located in Amsterdam Noord, just a 15-minute walk from the ferry to Central Station. It features a restaurant (not open yet), working area and free Wi-Fi. The apartments are split over three floors, and are modernly decorated with peaceful beige color decor.",Oud-Noord,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,[],167,3.67,150.0
"Spacious, Canal View Apartment","A spacious,<br />liveable apartment with a beautiful view on the canal from the terrace with evening sun, triple A located at the border of most popular neighbourhooods Jordaan and Oud-West and just a short walk away from all highlights.",Centrum-West,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,['Bathtub'],53,4.644438018122229,224.0
Cozy two bedroom apartment,"Super nice and practically laid out two-bedroom, three room apartment in the heart of Amsterdam! The apartment is located in Bos en lomer in a popular part of Oud-West. The lively neighborhood offers a variety of shops, cafes, and restaurants. Westerpark in 10 mins walk and Erusmaspark is 5 mins walk. Just around the corner from the flat is various specialty shops and supermarkets. Public transport is located in front of the door.",Bos en Lommer,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,['Blender'],4,5.0,200.0
Stylish 1 bedroom apartment with IJ view,"Nicely designed, comfortable 1 bedroom apartment with large balcony at the river front is located in IJplein Vogel buurt (bird neighborhood). This area offers not as crowded but lively time with unique restaurants, coffee and bars (Cafe de ceuvel, zithoek, bar oedipus, skate cafe..). Noorderpark is within 800 m distance to enjoy nature on a sunny day.",Oud-Noord,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,"['Piano', 'Free dryer – In unit', 'Board games', 'Baking sheet']",247,4.0,145.0
Central 1 Bedroom apartment with magnificent views,"New listing - please see other listing for reviews<br /><br />Bright apartment in the city center 2 minutes walk from Rembrandtplein, dam square, overlooking a canal, with magnificent views looking over the canal.<br /><br />Please note that apartment is fully furnished. I live in the apartment myself and rent it out couple of time a year when I am traveling. You rent the whole apartment for yourself.<br /><br />Contact me for long term discount",Centrum-Oost,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,"['Free washer – In unit', 'Blender', 'Baking sheet']",34,5.0,1.0
Private Room in Amsterdam East,"Private room with a balcony in the shared flat with shared bathroom in Amsterdam East.<br />15 min bike to Amsterdam Central Station or Dam Square.<br />2 single beds, which can be put together and make  King size bed. <br />The room has a big private balcony and is located on the garden side - quite even with opened windows.<br />Cooking is not allowed! But you can use fridge and kettle. <br />Please DON'T consider this place if you plan to come to be only inside and constantly smoke a weed.",Watergraafsmeer,Private room in rental unit,Private room,2,1.5,1.0,2.0,['Bathtub'],22,4.28,84.0
"GREAT, CANAL FAMILY HOME 15 min center, PARKING","Only renting for families or adults above 35 years old.<br />Our house is very well located, the shopping center with supermarkts, pharmacies, stores, organic shop and much more is 2 minutes walking distance  and so is the stop for tram and bus. <br />Diemen nature park  is 5 min from house.<br /> The house is  comfortable and spacious(205 m2), with plenty of natural light  and spetacular views of canal . Ground floor has a  studio with a double bed and  a sleeping couch for 2. Great yard with lounge area",IJburg - Zeeburgereiland,Entire home,Entire home/apt,6,2.5,4.0,7.0,"['Barbecue utensils', 'Babysitter recommendations', 'Outdoor furniture', 'BBQ grill', 'Blender', 'Canal view', 'Bathtub', 'Children’s books and toys', 'Children’s dinnerware', 'Pack ’n play/Travel crib', 'Board games', 'Outdoor dining area', 'Baking sheet']",36,4.44,314.0
Garden view city centre penthouse suite,"The fully renewed art deco design bed and breakfast is situated in the city centre of Amsterdam, all the highlights of Amsterdam are merely minutes away!<br /> <br />The b&b has a very comfortable and stylish  touch, so you will feel welcome right away.",Centrum-West,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,"['Free washer – In unit', 'Bathtub']",78,4.73,128.0
185m2 riverside home + big terrace in center A'dam,"We love to welcome you in our home, with 3 bedrooms, large terrace, riverview, in the middle of the citycentre but still a quiet neighbourhood. Suitable for couples, families and business travelers. We have a separate room w. babycot.<br /><br />Our appartment (185m2) is situated next to the famous Carré theater. In walking distance of Utrechtsestraat with lots of unique boutiques, Artis Zoo and photomuseum Foam. Also nearby: Leidseplein, Rembrandt Square, Famous Streetmarket Albert Cuyp and subway.",Centrum-Oost,Entire rental unit,Entire home/apt,4,2.0,3.0,4.0,"['Babysitter recommendations', 'Piano', 'Outdoor furniture', 'Blender', 'Bathtub', 'Children’s books and toys', 'Pack ’n play/Travel crib', 'Children’s dinnerware', 'Board games', 'Outdoor dining area', 'High chair', 'Baking sheet']",3,4.6,850.0
The Hideout | Private Field cabin,"Located on the water or in the field, this spacious private 40 m² cabin has a separate bedroom and a large living room with a bespoke interior. Sliding doors open to a private terrace with sun loungers.",Geuzenveld - Slotermeer,Room in boutique hotel,Private room,2,1.0,1.0,1.0,"['Outdoor furniture', 'Board games']",225,4.58,217.0
Comfortable B&B near Centre with private bathroom,"Our brand-new Bed&breakfast is waiting for you. It's at an AAA-location; near the center. Fast internet. Streetmarket, Heineken, big museums, all on walking distance. And many fine and cozy restaurants and shops.<br /><br />The room and bathroom are in the basement-floor with a light-window facing our garden. Quiet place, floorheathing, luxury bathroom, a little fridge and all the equipment to prepare breakfast at any time you want.",De Pijp - Rivierenbuurt,Private room in bed and breakfast,Private room,3,1.0,1.0,2.0,['Board games'],7,4.77,219.0
Modern private apartment,"Bright and spacious apartment in a green surrounding. The perfect base from which you can explore the entire city. Only meters away from the metro/tram/bus-station, and just a tram ride away from the city center.<br /><br />Comfortable place to stay, accessible by wheelchair and only 20min from the airport. <br /><br />Hopefully you will enjoy this apartment as much as we do!",Geuzenveld - Slotermeer,Entire rental unit,Entire home/apt,2,1.5,1.0,1.0,"['Outdoor furniture', 'Blender', 'Bathtub', 'Outdoor dining area']",6,4.57,206.0
Central & Modern Studio on Eco-Houseboat!,"A beautiful, bright and private studio room situated in a recently renovated Amsterdam eco-houseboat. It has an en suite bathroom and stunning view over the IJ water. Located in the city-centre, nearby the famous Jordaan area.",Westerpark,Private room in houseboat,Private room,2,1.5,0.0,1.0,"['Canal view', 'City skyline view', 'Children’s dinnerware']",348,4.7,187.0
"Spacious, private apartment | Museum Area","Spacious boutique style place in the centre of Amsterdam. It's beautifully decorated, with high ceilings with a charming bathroom (with bad),  a seperate toilet,  a kitchen and two balconies. <br /><br />It's centrally located in a calm street next to the Vondelpark, the museum area and the canals. Everything is in five  minutes walking distance.<br /><br />Towels, soap and a hairdryer are included.",Zuid,Private room in bed and breakfast,Private room,4,1.5,2.0,2.0,[],60,4.65,385.0
Family home in vibrant East side,"Welcome to our stunning apartment nestled in the heart of Amsterdam's vibrant Indische buurt neighborhood! This carefully curated apartment offers a perfect blend of modern sophistication and family-friendly comfort, ensuring an unforgettable stay for guests of all ages.",Oostelijk Havengebied - Indische Buurt,Entire condo,Entire home/apt,4,2.0,3.0,4.0,"['Free washer – In unit', 'Barbecue utensils', 'Babysitter recommendations', 'Outdoor furniture', 'Piano', 'BBQ grill', 'Bathtub', 'Free dryer – In unit', 'City skyline view', 'Children’s dinnerware', 'Board games', 'Outdoor dining area', 'Baking sheet']",227,4.8,380.0
Private Room- Ma Chambre.,"*** Please read the full details and profile before booking your stay.**<br />A cozy bed room in an apartment building of 3 floors, built in the year of 1936.<br />A classic big and bright bedroom nicely located in the suburb  and an easy <br /> access to places of Amsterdam and neighbouring cities. Walking distance to the the RAI convention center. <br />Transportations are a 10 minutes walk either tram or the metro line. <br />Kindly read “other things to note” to avoid any inconvenience during your stay”",De Pijp - Rivierenbuurt,Private room in condo,Private room,2,1.0,1.0,1.0,"['Outdoor furniture', 'Bathtub']",220,4.81,112.0
Canal view and green park view apartment!,"Canal view and green park view apartment. The heart of the lively city centre, in the most popular place of Amsterdam, ""The Jordaan"".<br /><br />Al you need in waking distance!",Centrum-West,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,[],103,4.67,250.0
De Oude Modeschool te Amsterdam,"Welcome in our unique designed family loft in a recently transformed historic school building in trendy Amsterdam East. Our house is super light  it has amazing 4,5 meters (15 feet) high ceilings and comes with a large kitchen,  1 master bedroom and  3 kids bedrooms, 2 bath rooms and a huge sunny balcony and large roof terrace. Including indoor parking.",Oostelijk Havengebied - Indische Buurt,Entire loft,Entire home/apt,4,2.0,4.0,4.0,"['Outdoor furniture', 'Piano', 'BBQ grill', 'Bathtub', 'Free dryer – In unit', 'Board games', 'Outdoor dining area']",184,4.5,595.0
Cosy apartment with balcony!,"Welcome to my nice apartment in Amsterdam! It's in a quiet area near the lively Dappermarkt, the historic Scheepsvaartmuseum, and Artis Zoo.<br /><br />Relax on your balcony or take a bath after exploring the city. My apartment has everything you need for a comfortable stay. It's easy to get around with public transportation nearby.<br /><br />Enjoy Amsterdam's culture and history from my cozy apartment. I look forward to hosting you!",Centrum-Oost,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,[],235,4.8,200.0
Big central family home away from home @Vondelpark,Ideal home base for family getaway with 7 beds to choose from. DM if you have queries. Unique apartment dating from 1886 (150m2) with three different floors in central Amsterdam located in a side street to the Vondelpark. Walking distance to Leidseplein and Theater district as well as the Museum Quarter. Many restaurants and bars located in direct vicinity. 20 mins from Schiphol airport with public transport and 30 minutes from Central Station.,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,7,1.5,3.0,4.0,"['Piano', 'Blender', 'Bathtub', 'Board games', 'Baking sheet']",67,4.86,544.0
Family Residence | Design | Garden | East Side,"A stylish house with a private garden in the leafy urban ‘village’ of Watergraafsmeer. Set over 3 floors. The modern open-plan kitchen area is fully equipped and comes with a wine climate cabinet and a Quooker.  The sunny, south facing garden is perfect for enjoying a BBQ or morning coffee in the sun. The streets around the residence are mainly car-free so the kids can play safely. There are several playgrounds, parks, bars and restaurants within walking distance.",Watergraafsmeer,Entire home,Entire home/apt,6,1.0,3.0,0.0,['Outdoor dining area'],186,4.644438018122229,425.0
Generator - Private 6 bed Room,"Stay in our Private 6-Bed Room at Generator Amsterdam, featuring 2 bunks (6 beds) and a private bathroom, ideal for groups or families. Each bunk is equipped with a light, personal shelf, and under-bed lockers for your convenience. Pillow, duvet, and linen are all supplied to ensure a comfortable stay. Towels are available at reception for a small fee. This room offers the perfect blend of privacy and comfort for your group.",Centrum-Oost,Room in aparthotel,Private room,6,1.0,1.0,4.0,[],361,4.644438018122229,999.0
Hotel Not Hotel Amsterdam: Sin City Ground Floor,No description,De Baarsjes - Oud-West,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,[],309,3.82,122.0
Beach Bunker - Perfect for big group in Amsterdam,Are you planning to come with a big group of friends to Amsterdam than this the perfect room for you! Our Beach Bunker accommodates up to 8 people so if you can handle a bit of snoaring from your room mates than we are sure you are going to have a great time sharing a room altogether.<br /><br />Room Size: 24 m²<br />Bed Type: Kingsize bed for 2 persons + 3 bunk beds<br />Ensuite bathroom<br />Note: no windows,Geuzenveld - Slotermeer,Room in hotel,Private room,8,1.0,0.0,1.0,[],340,4.83,296.0
Canal Suites in center + sauna + bicycles,"The two stand alone bedrooms (not an apartment) with each their own bathroom on the first floor of this canal house are located in the center at the picturesque Prinsengracht, facing the famous nine little streets.  Anne Frank House, Rijksmuseum, Van Gogh museum and Vondelpark  are a 15-minute walk. Four bicycles are free to use.  One out of two  bathrooms includes a whirlpool bath and sauna. No breakfast provided, but restaurants and supermarket around the corner. Host lives the floor above.",Centrum-West,Private room in townhouse,Private room,4,2.0,2.0,4.0,['Canal view'],93,4.94,379.0
17e Century Canal house in the Jordaan,"Unique light and cosy apartment in 17e Century Canal House, With original details.<br />In the heart of the Jordan area, 200 meters from the Anne Frank House, Unesco area.  Overlooking a courtyard and canal. Consisting of two seperate bedrooms and a bathroom in between. Suitable for children!Non smoking !!!",Centrum-West,Private room in rental unit,Private room,4,1.0,2.0,1.0,"['Babysitter recommendations', 'Children’s books and toys', 'Pack ’n play/Travel crib']",55,4.61,300.0
Canalstreet Chic with Open Shower,"Tucked beside a tranquil Amsterdam canal, my property promises a one-of-a-kind stay. With modern, stylish interior, it's a space where elegance meets warmth. Conveniently located, you can easily wander to nearby cafes and attractions for a taste of local life. Whether you seek a romantic getaway or solo exploration, our retreat ensures a memorable Amsterdam experience. Can't wait to welcome you and offer you an unforgettable stay!",Centrum-Oost,Private room in rental unit,Private room,2,1.0,1.0,0.0,[],250,4.61,122.0
Private studio in the citycenter and yet quiet,"My name is Thomas, I am an interior designer/craftsman. Since 20 years i live in this 4 floor canalhouse, right in the old center! I created a 23M2 very private studio at the backside of the second floor. So you will have a great personal place better than a hotelroom. You have a kingsbed, kitchenette, private  bathroom, private toilet in the hallway and a balcony. Central station is 8 min walking, metro 2 min. Many pubs, restaurants etc around the corner.. Read my reviews, and be welcome!",Centrum-Oost,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,[],268,4.9,165.0
Lovely luxurious apartment in the Pijp (75m2),No description,De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"['Bathtub', 'High chair', 'Baking sheet']",96,4.73,240.0
Cosy houseboat near city centre.,"Experience the charm of a cozy and luxurious houseboat, boasting picturesque views from the water terrace and a sizable sunny garden in the rural outskirts of Amsterdam. Just a short 15-minute journey to the city center, you can savor the peace and natural beauty of this Amsterdam neighborhood while being conveniently close to the lively city atmosphere whenever you're in the mood.",Noord-West,Houseboat,Entire home/apt,4,1.0,3.0,3.0,"['Barbecue utensils', 'BBQ grill', 'Blender', 'Canal view', 'Coffee maker: espresso machine', 'Bathtub', 'Board games', 'Outdoor dining area']",211,5.0,230.0
"Spacious, cozy and modern house","Spacious, light and comfortable apartment close distance to the city center, the vibrant NDSM area and green surroundings. Large rooms, style-fully decorated, child and grown up friendly. Perfect for a family, a couple or friends looking for a quiet place for holidays or work. Free parking in front of the house. The apartment is located in a very green area, surrounded by trees and water. It is part of a quiet multicultural neighborhood, with a supermarket and other shops at walking distance.",Noord-West,Entire rental unit,Entire home/apt,4,1.0,2.0,1.0,"['Outdoor furniture', 'Bathtub', 'Free dryer – In unit', 'Children’s dinnerware', 'Baking sheet']",21,4.75,175.0
"Knus appartement, ideaal voor werk & ontspanning","Discover our charming apartment near the center of Amsterdam and the Amstel, within walking distance of the Albert Cuyp market and the Rijksmuseum. The space has 1 bedroom, a modern bathroom, a fully equipped kitchen and a cozy living room. Two workspaces with additional screens make it great for working from home. Enjoy a separate dining room and a small balcony for breakfast or coffee. Perfect for work and relaxation, offering a true Amsterdam experience in a lively neighbourhood.",De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,['Board games'],16,4.644438018122229,196.0
New Modern Apartment near City Center.,No description,Westerpark,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"['Blender', 'Board games', 'Baking sheet']",8,4.29,208.0
Chic Urban Apartment by Jordaan,"Welcome to our spacious and bright stylish home in Amsterdam! We offer a stylish, luminous space with an open kitchen, a bath, two televisions, and a sunny south-facing balcony. Optional for 3 people.<br /><br />Location:<br />Situated near Westerpark, within walking distance of the popular and charming Jordaan, and surrounded by cozy cafes and restaurants. <br />Just a 10-minute bus ride from Amsterdam Central Station. <br /><br />Experience vibrant Amsterdam from our comfortable home!",Westerpark,Entire condo,Entire home/apt,3,1.0,1.0,2.0,"['Barbecue utensils', 'Outdoor furniture', 'BBQ grill', 'Blender', 'Coffee maker: espresso machine', 'Bathtub', 'Board games', 'Baking sheet', 'Outdoor dining area']",87,4.5,250.0
Stylish apartment in Amsterdam,"Welcome to our charming apartment nestled near Amsterdam's vibrant city center. Situated in the West Amsterdam, our cozy home strikes the perfect balance between tranquility and the bustling energy of the city. Recently renovated in 2022, our apartment boasts a fresh, contemporary design. With the capacity to comfortably accommodate up to three guests, it offers both intimacy and spaciousness.",Bos en Lommer,Entire condo,Entire home/apt,3,1.0,2.0,2.0,['Blender'],146,5.0,267.0
"Cozy, 2 bedroom Apartment in West Amsterdam",- Relax with your family or friends at this peaceful place to stay.<br />- This apartment has two queen beds for a comfortable nights sleep.<br />- There’s also a spacious living room with comfortable seating for four people to unwind after a busy day in the city.,Bos en Lommer,Entire condo,Entire home/apt,4,1.0,2.0,2.0,"['Outdoor furniture', 'Piano', 'Board games']",99,4.644438018122229,196.0
Canal-side charming apartment,"This stylish one-bedroom apartment boasts prime location next to the picturesque and lively Westerpark and a tranquil canal. With tasteful furnishings and modern amenities, including a fully-equipped kitchen, you’ll feel right at home. Explore the charming streets of Jordan, just 10-minute bike ride away. Whether you’re strolling along the canals or enjoying the vibrant local scene, this apartment offers the perfect blend of comfort and convenience for your Amsterdam getaway.",Westerpark,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,[],205,5.0,255.0
Houseboat by int. designer 5min from city centre,"Private houseboat by interior designer, cosy bohemian style with a well equipped kitchen, perfect for a family or friends to spent their holidays with great food, drinks and a wood fire. Right next to the city centre (the free ferry that goes all day and night takes you to central station in 5 minutes) in the hip north of amsterdam. Quiet, green and cosy with private free parking on walking distance of the city centre. / Z/22/2017123",Oud-Noord,Boat,Entire home/apt,4,2.0,2.0,2.0,"['BBQ grill', 'Bathtub']",209,4.83,380.0
Comfortable city centre 2 BR. Apt. with Balcony,"Light and spacious apt. in the hip and lively neighborhood of Amsterdam Oost. With a spacious cooking island, comfortable master bedroom with double bed and 2nd bedroom with queen bed, this is a perfect apt. for couples or families with a spacious balcony with beautiful views. Oost is within biking distance of the center of Amsterdam, but is characterized by the many restaurants and bars where the locals like to come and close to Artis Zoo. The city center is easily accessible by train, tram or bicycle",Oud-Oost,Entire rental unit,Entire home/apt,4,1.5,2.0,2.0,['Bathtub'],89,3.73,265.0
Amazing floating house + Terrace @hip neighborhood,Feel at home on the water for the ultimate Amsterdam experience !,Oud-Noord,Houseboat,Entire home/apt,4,2.0,2.0,2.0,"['Outdoor furniture', 'Canal view', 'Bathtub', 'Free dryer – In unit', 'Children’s books and toys', 'City skyline view', 'Outdoor dining area']",349,4.33,400.0
"The Old Canal House: suite, right in center!","Two room suite with your own bathroom and kitchenette , view on oldest canal of Amsterdam.<br />Kitchenette,to make your own breakfast.Cooking not possible.<br />Guests can indicate whether they want a double bed or two singles.",Centrum-West,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,['Canal view'],172,4.74,145.0
Interior dream | Boutique hotel style | Adam apt.,"This classic '30 apartment in the Hoendiepstraat offers you the opportunity to stay in one of the best areas of Amsterdam (South, close to De Pijp and the Amstel station). The boutique hotel style of the apartment is absolutely great. Both the kitchen and the bathroom are brand new and fully equipped. The balcony has sun in the afternoon + evening.",De Pijp - Rivierenbuurt,Entire condo,Entire home/apt,2,1.5,1.0,1.0,"['Free washer – In unit', 'Free dryer – In unit', 'Baking sheet']",5,4.38,202.0
Peaceful home with garden + free parking,"Unwind in a beautiful 2 bedroom family house in a child friendly neighborhood near Amsterdam Centre.<br /><br />Just 5 minutes away from the live and kicking NDSM area. If you want to experience the bruising city center of Amsterdam, you’re only 15 minutes away, by car, public transport or bike. <br /><br />The house got all the amenities to call it your home while visiting Amsterdam. A place to relax and revive. A place to spend time with your family on the large couch or in the garden (South east, so all day sun)",Noord-West,Entire home,Entire home/apt,4,1.0,2.0,4.0,"['Babysitter recommendations', 'Outdoor furniture', 'BBQ grill', 'Coffee maker: espresso machine', 'Children’s dinnerware', 'Outdoor dining area', 'Baking sheet']",8,4.73,198.0
Wooden House,"This nice small wooden house is situated in a quite en green area in Amsterdam. <br />The house has a twin bed and a foldable single bed, a kitchen, and a shower with toilet and is around 30 m2. There are also free bikes available, so it is easy to go to the center as well.",Watergraafsmeer,Tiny home,Entire home/apt,3,1.0,0.0,3.0,['Private backyard – Fully fenced'],13,4.63,121.0
Private luxurious apartment,Newly renovated (CO2 neutral) apartment in Amsterdam. Perfect place for remote working whilst exploring Amsterdam and the Netherlands. <br />Close to all Amsterdam highlights by public transport or bike.<br /><br />Metro station: 5 minute walk (Europaplein metrostation)<br />Central Station: 5 minutes metro<br />Dam Square city centre: 3 minutes metro,De Pijp - Rivierenbuurt,Entire condo,Entire home/apt,2,1.5,1.0,1.0,"['Free washer – In unit', 'Blender', 'Free dryer – In unit', 'Board games', 'Baking sheet']",131,4.46,312.0
Studio on houseboat in Nieuwmarkt Area,"Charming one bedroom houseboat apartment, located in the Centre Area in Amsterdam. This luxurious houseboat, located on a canal in the quiet area of the centre. At 40 square metres the apartment is spacious with an open kitchen, lounge corner with wide screen, bedroom and bathroom with a shower. You can sit on the rooftop to watch the boats come by. Shops, museums like Rembrandthouse, Waterlooplein etc are close by.",Centrum-Oost,Private room in houseboat,Private room,2,1.0,1.0,1.0,['Outdoor furniture'],187,4.67,175.0
Stijlvol gerenoveerd appartement Amsterdam,"Welcome into this lovely and bright apartment in the luxurious, lively Oud Zuid neighborhood!<br /><br />Discover the charm of the Vondelpark and the museums of the Museumplein. Shopping and dining in the neighborhood.<br /><br />The stop for tram line 2 is in the street. According to the National Geographic Traveler magazine, line 2 is one of the most beautiful in the world.<br />This one drives past all the heights of the city. <br /><br />The airport and WTC Zuidas is 15 min. away.<br /><br />Enjoy the comfortable apartment and the splendor of Amsterdam.",Zuid,Entire condo,Entire home/apt,2,1.5,1.0,1.0,"['Free washer – In unit', 'Blender', 'Free dryer – In unit']",20,4.71,236.0
Cosy studio Lily in city center,"Wonderfully all luxury built apartment situated in an Amsterdam monument dated from 1540, that was rebuilt in 1675. The apartment is located at a very quiet alley on “Blaeu Erf"", nearby Dam Square, in the oldest part of Amsterdam City Centre. This modern furnished apartment has a nice living room with original 17e century beams. Located on the third floor, this apartment has a real cosy atmosphere to unwind after a day exploring.",Centrum-West,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,['Coffee maker: espresso machine'],120,4.52,188.0
Family Home in the DePijp,"In the middle of the trendy DePijp, 2 minutes from the Albertcuyp Markt, 7 minutes walk to Rijksmuseum and Van Gogh and the Heineken experience is just around the corner.  This place is perfect for your stay in Amsterdam!",De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,2,1.5,1.0,1.0,[],7,4.8,165.0
Spacious & Comfortable Family Townhouse-park/beach,"Families Only Listing<br />This beautiful and modern house, with 3 bedrooms, is located in a great part of Amsterdam. The home also has 2 bathrooms. The neighbourhood is characterized by unique large family houses and lots of space. The ideal combination of being close to the city centre of Amsterdam and the tranquillity of living outside in a water-rich area. From the living room, you have access to a large and sunny garden. There is also a free private parking space.",IJburg - Zeeburgereiland,Entire home,Entire home/apt,4,2.5,3.0,3.0,"['Babysitter recommendations', 'Outdoor furniture', 'BBQ grill', 'Bathtub', 'Free dryer – In unit', 'Children’s dinnerware', 'Board games', 'Outdoor dining area']",32,5.0,239.0
Comfortable & Quiet | Popular Jordaan area!,★ Located in Jordaan Area!<br />★ Ground floor<br />★ Close to Anne Frank House<br />★ Queensize bed<br />★ Big shower (can fit two people)<br />★ Fully equipped kitchen<br />★ Floor heating<br />★ Complete private area in the house<br />★ Close to public transportation<br />★ Shower ensuite<br />★ Separate Toilet,Centrum-West,Private room in rental unit,Private room,2,1.0,1.0,1.0,[],210,4.8,160.0
High-end boutique studio near city center!,"Our property is situated in an old historical building located in the West part of Amsterdam, only a stroll away from the Rembrandt Park. The airport is only 7 minutes away by train. Bens The Walton features free Wi-Fi. The apartments are split over two floors with modern decoration and a natural colour interior.",Slotervaart,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,[],169,3.64,149.0
Charlie + Coco's Apartment,"Charlie + Coco are looking forward to welcome you in Amsterdam. You will find this cozy apartment in the middle of the lively neighbourhood the Pijp, often referred to as Amsterdam's 'Quartier Latin'. The apartment is located in a quite street at short walking distance to the world famous AlbertCuyp market, and streets with a diversity of shops, coffeebars and art galeries.",De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,[],13,4.39,175.0
2BR Family House near Central Station,"Be welcome in our spacious, urban family house in one of the most upcoming areas in Amsterdam! It has 1 bedroom for 2 adults, 1 bedroom for 2 children, a bathroom with bathtub and separate shower, a garden and a roof terrace. It has all the modern facilities located in a car-free zone, ideal for families! It is strategically located in between the hotspots of the North: NDSM, EYE Film and ADAM Tower. Within 15 minutes you are downtown by free ferry, bus or by subway.",Oud-Noord,Entire townhouse,Entire home/apt,4,1.5,2.0,3.0,"['Free washer – In unit', 'Private backyard – Fully fenced', 'Bathtub', 'Children’s books and toys', 'Pack ’n play/Travel crib', 'Children’s dinnerware', 'High chair']",7,4.62,250.0
Piece of paradise in Amsterdam,Welcome to my lovely home. It's a beautiful new apartment on the North side of Amsterdam where you are close to the city but also can enjoy the peace and green that the North has to offer. It's an apartment in a residential building so not at all suitable for parties or late night music.,Noord-West,Entire condo,Entire home/apt,2,1.0,1.0,1.0,"['Blender', 'Bathtub']",144,5.0,120.0
Cosy & spacious loft in Amsterdam,My loft is very suitable for a group of friends or family to visit Amsterdam.<br /><br />The location is pretty nearby the Amsterdam Central Station. Via public transports in the neighborhood you will arrive in 10 minutes in the center of Amsterdam or try the 24-hours free ferry (20 minuts walk from the loft). <br /><br />Within 10 minutes walking you will find a shopping area with supermarkets and different kind of coffee shops and restaurants for lunch and diner.<br /><br />Bedsheets and towels are included.,Oud-Noord,Entire home,Entire home/apt,11,3.0,4.0,8.0,"['Outdoor furniture', 'Outdoor dining area']",297,4.5,409.0
Sunny loft overlooking central AMS w/ pool & sauna,"Welcome to our family's sunny 7th-floor apartment in Amsterdam just 10 mins from central.<br /><br />This family-friendly home features an open living space with large windows, a private balcony, and chic industrial decor. One bedroom with a double bed for adults and a second bedroom for children with a climbing wall and movie corner.<br /><br />Enjoy a fully equipped modern kitchen, a fitness area, and access to a communal sauna and swimming pool.<br /><br />Perfect for an unforgettable and pleasant stay in Amsterdam.",Oud-Noord,Entire loft,Entire home/apt,4,1.0,2.0,5.0,"['Barbecue utensils', 'Piano', 'BBQ grill', 'Outdoor dining area', 'Baking sheet']",255,4.0,320.0
Colourful design apartment close to Metro station,"Enjoy a stylish and comfortable home base for your city trip to Amsterdam.<br /><br />Conveniently located a 3-minute walk to the Noorderpark metro station, with line 52 taking you to Centraal station and other trendy neighbourhoods like Jordaan and De Pijp within minutes. The free ferry across the Ij river is a 15-minute walk away. <br /><br />After a busy day exploring the city, relax in the bath tub, watch Netflix, HBO or Prime on our smart TV, or enjoy a wine on the balcony overlooking the canal.",Oud-Noord,Entire condo,Entire home/apt,4,1.5,2.0,2.0,"['Blender', 'Bathtub', 'Free dryer – In unit', 'Outdoor dining area']",131,4.67,280.0
Appartement in Amsterdam Noord,"Located in the heart of the trendy Noord neighbourhood - known for its bars, restaurants and clubs - this flat itself is in a quiet residential street. Noorderpark metro station is a 10 minute walk and just one stop away from Central, so it takes 15 minutes to arrive in the historical center of Amsterdam, home to the Van Gogh Museum, Rijksmuseum, Anne Frank House and the world famous canals. The flat comes with a double bedroom, modern kitchen, bathroom, living room and south facing balcony.",Oud-Noord,Entire home,Entire home/apt,2,1.0,1.0,1.0,"['Blender', 'Bathtub', 'Board games', 'Baking sheet']",121,4.0,160.0
Bright apartment Amsterdam-West,"This recently renovated gem in Bos en Lommer offers more than just tranquility and charm. Easily accessible via tram 19 and bus 21, you can reach the historic center in just 10 minutes from your doorstep.<br /><br />Key Features:<br /><br />-Recently renovated<br />-Third-floor apartment<br />-Peaceful and quiet street<br />-Close proximity to Erasmuspark<br />-Popular Bos en Lommer area with a multitude of nearby shops and amenities<br /><br />Registration code: Z/24/2331033",Bos en Lommer,Entire rental unit,Entire home/apt,3,1.0,2.0,1.0,['Blender'],56,4.0,185.0
